title,link,package_id,bill_number,category,keyword
"To amend the Omnibus Parks and Public Lands Management Act of 1996 to reauthorize the Ohio & Erie National Heritage Canalway, and for other purposes.",https://api.govinfo.gov/packages/BILLS-116hr6998ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hr6998ih,6998,Environment & Climate Change,public land
"Expressing the sense of the Senate that the tragic death of George Floyd was unjust and the perpetrators must stand trial and be brought to justice, the First Amendment of the Constitution guarantees individuals the right to peaceably assemble and protest, groups like Antifa and the individuals who took over peaceful protests with violence, chaos, looting, and destruction should be held accountable for their actions, the attacks on law enforcement, individuals, small businesses, and communities are causing death, injury, and millions of dollars in damage, the vast majority of men and women in law enforcement work tirelessly and risk their lives to protect the people of the United States without prejudice, police departments are the cornerstone for maintaining a society of order, calls to defund the police threaten the safety and security of the people of the United States, Congress will continue to appropriate funding to local law enforcement agencies that bolster police efforts, and the Nation must come together in healing, reconciliation, and prayer to reaffirm that every life is sacred, our society must strive for equality, and that we will work to ensure a tragedy like George Floyd’s never happens again in the United States.",https://api.govinfo.gov/packages/BILLS-116sres612is/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116sres612is,612,Education,funding
"To amend title 38, United States Code, to make a technical correction to clarify that colleges and universities located outside the United States may participate in the Yellow Ribbon Program of the Department of Veterans Affairs.",https://api.govinfo.gov/packages/BILLS-116hr7009ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hr7009ih,7009,Education,education
"To award a Congressional Gold Medal to Billie Jean King, in recognition of her contribution to the Nation and her courageous and groundbreaking leadership advancing equal rights for women and the LGBTQ community in athletics, education, and our society.",https://api.govinfo.gov/packages/BILLS-116hr6944ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hr6944ih,6944,Education,education
"To amend the Public Health Service Act to designate certain medical facilities of the Department of Veterans Affairs as health professional shortage areas, and for other purposes.",https://api.govinfo.gov/packages/BILLS-116hr6979ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hr6979ih,6979,Education,access
Calling for justice for George Floyd and opposing calls to defund the police.,https://api.govinfo.gov/packages/BILLS-116sres613is/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116sres613is,613,Foreign Affairs & National Security,police
"Recognizing that the murder of George Floyd by officers of the Minneapolis Police Department is the result of pervasive and systemic racism that cannot be dismantled without, among other things, proper redress in the courts.",https://api.govinfo.gov/packages/BILLS-116sres602is/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116sres602is,602,Foreign Affairs & National Security,police
"Recognizing the threats to press freedom in the United States in the wake of protests following the killing of George Floyd, an unarmed Black man, by police in Minneapolis on May 25, 2020, reaffirming the centrality of a free and independent press to the health of democracy, and reaffirming freedom of the press as a priority of the United States in promoting democracy, human rights, and good governance.",https://api.govinfo.gov/packages/BILLS-116hres1009ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hres1009ih,1009,Foreign Affairs & National Security,police
Calling for justice for George Floyd and opposing efforts to defund the police.,https://api.govinfo.gov/packages/BILLS-116hres1007ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hres1007ih,1007,Foreign Affairs & National Security,police
"Recognizing the threats to press freedom in the United States in the wake of protests following the killing of George Floyd, an unarmed Black man, by police in Minneapolis on May 25, 2020, reaffirming the centrality of a free and independent press to the health of democracy, and reaffirming freedom of the press as a priority of the United States in promoting democracy, human rights, and good governance.",https://api.govinfo.gov/packages/BILLS-116hres999ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hres999ih,999,Foreign Affairs & National Security,police
To direct the Secretary of Veterans Affairs to conduct a study on the effect of financial and credit counseling for housing unstable veterans.,https://api.govinfo.gov/packages/BILLS-116hr6990ih/pdf?api_key=ZqRNTQq6CY99EzBostlqDU6QPGGFnLvELW3guepY,BILLS-116hr6990ih,6990,Housing,homeless
